period,Tokopedia,Shopee,Lazada,Bukalapak,Blibli
2019 Q4,67900000,72973300,28383300,39263300,26863300
2020 Q1,69800000,71553300,24400000,37633300,17600000
2020 Q2,93440300,86103300,22021800,35288100,18307500
2020 Q3,84997100,96532300,22674700,31409200,18695000
2020 Q4,129320800,114665600,36260600,38583100,22413100
2021 Q1,135076700,127400000,30516700,34170000,19590000
2021 Q2,147790000,126996700,27670000,29460000,18440000
2021 Q3,158136700,134383300,27953300,30126700,16326700
2021 Q4,157443300,138776700,28173300,25760000,15686700
2022 Q1,157233300,132776700,24686700,23096700,16326700
